index,time,coverage,leg,cog,sog,true_wind_dir
0,2023-11-21 20:02:39,0.0,0,268.3189622641509,9.158490566037736,143.25
1,2023-11-21 20:06:47,0.0,1,310.9591836734694,8.942857142857143,144.5
2,2023-11-21 20:10:36,0.0,2,260.9148148148148,9.31358024691358,140.0
3,2023-11-21 20:13:45,0.0,3,53.381900826446284,8.798347107438016,144.4
4,2023-11-21 20:18:29,0.0,4,88.12355140186918,8.657009345794393,145.25
5,2023-11-21 20:22:39,0.0,5,131.81342342342342,8.463063063063064,144.25
6,2023-11-21 20:26:58,0.0,6,173.96720720720722,8.55045045045045,148.4
7,2023-11-21 20:31:17,0.0,7,217.33201923076922,8.610576923076923,142.75
8,2023-11-21 20:35:17,0.0,0,262.2502857142857,7.300952380952381,140.0
9,2023-11-21 20:39:23,0.0,1,309.85931818181825,7.3738636363636365,147.33333333333334
10,2023-11-21 20:42:50,0.0,2,169.4351923076924,7.361538461538462,151.0
11,2023-11-21 20:44:50,0.0,3,233.92438356164382,7.383561643835616,146.0
12,2023-11-21 20:47:40,0.0,4,47.69146666666667,6.897333333333333,150.33333333333334
13,2023-11-21 20:50:34,0.0,5,81.54737704918033,6.519672131147542,156.0
14,2023-11-21 20:52:56,0.0,6,98.90038461538464,7.103846153846154,159.0
15,2023-11-21 20:54:56,0.0,7,133.85980198019803,6.747524752475248,153.25
16,2023-11-21 20:58:52,0.0,0,172.59900990099007,6.832673267326733,148.25
17,2023-11-21 21:02:48,0.0,1,213.57333333333335,6.9695238095238095,146.0
18,2023-11-21 21:06:53,0.0,2,260.6745283018868,5.684905660377358,146.4
19,2023-11-21 21:11:01,0.0,3,312.12103896103895,5.336363636363637,144.0
20,2023-11-21 21:14:00,0.0,4,349.63831168831166,5.724675324675325,143.66666666666666
21,2023-11-21 21:16:59,0.0,5,59.899278350515466,5.437113402061855,142.5
22,2023-11-21 21:20:45,0.0,6,86.83125,4.920192307692308,141.25
23,2023-11-21 21:24:47,0.0,7,128.83507936507934,4.490476190476191,143.66666666666666
24,2023-11-21 21:27:14,0.0,0,138.6166037735849,5.2075471698113205,148.5
25,2023-11-21 21:29:17,0.0,1,172.76205882352937,5.124509803921569,146.25
26,2023-11-21 21:33:14,0.0,2,211.3197872340425,5.138297872340425,135.0
27,2023-11-21 21:36:53,0.0,3,241.85105263157894,4.487719298245613,136.66666666666666
28,2023-11-21 21:39:06,0.0,4,289.775576923077,3.946153846153846,155.0
29,2023-11-21 21:41:07,0.0,5,318.8988679245284,4.475471698113207,152.0
30,2023-11-21 21:43:10,0.0,6,48.19349206349208,4.66031746031746,151.0
31,2023-11-21 21:45:36,0.0,7,62.18393442622953,4.0967213114754095,154.0
32,2023-11-21 21:47:57,1.0,0,105.29103448275862,3.2844827586206895,158.0

