Platform;Starttime;Stoptime;Sea state;Location;Experiment
Frigg;2023-11-17T15:53:29.113Z;2023-11-17T22:26:54.053Z;3;Malangen;Dataquality
Frigg;2023-11-18T09:51:05.010Z;2023-11-18T16:44:40.770Z;4;Austerhola;Dataquality
GOSars;2023-11-18T16:44:40.770Z;2023-11-18T18:43:22.840Z;4;Austerhola;Dataquality
Frigg;2023-11-18T19:06:32.588Z;2023-11-18T19:17:01.468Z;4;Austerhola;Dataquality
Frigg;2023-11-19T09:39:00.485Z;2023-11-19T12:14:00.707Z;2;Lyngsfjorden;Dataquality
GOSars;2023-11-19T09:39:00.485Z;2023-11-19T12:14:00.707Z;2;Lyngsfjorden;Dataquality
Frigg;2023-11-19T13:33:28.817Z;2023-11-19T14:05:43.589Z;2;Lyngsfjorden;Towing
Frigg;2023-11-19T15:24:47.514Z;2023-11-19T19:22:02.796Z;2;Lyngsfjorden;RPMtest, Noisetest
GOSars;2023-11-21T20:02:00.936Z;2023-11-21T21:56:31.866Z;2;Austerhola;Dataquality
GOSars;2023-11-21T23:36:30.862Z;2023-11-22T01:46:30.400Z;2;Malangen;Dataquality
